metric,tau,gamma,seed,n_clusters,silhouette,ics_score,stability,hierarchical_score,genus,material,external_ARI_broad,external_NMI_broad,external_ARI_fine,external_NMI_fine,external_ARI_who,external_NMI_who
jaccard,0.30000000000000004,0.75,104,20,0.3052357948624625,4.684746652407024,0.9904512133833205,0.4887450795374774,Escherichia,Blood Culture,0.182437678462575,0.5439170068114404,0.07641932188869485,0.6380490183048192,0.06312875704930901,0.2345012339070588
jaccard,0.30000000000000004,0.75,105,20,0.3052357948624625,4.684746652407024,0.9904512133833205,0.4887450795374774,Escherichia,Blood Culture,0.182437678462575,0.5439170068114404,0.07641932188869485,0.6380490183048192,0.06312875704930901,0.2345012339070588
jaccard,0.30000000000000004,0.75,106,20,0.3052357948624625,4.684746652407024,0.9904512133833205,0.4887450795374774,Escherichia,Blood Culture,0.182437678462575,0.5439170068114404,0.07641932188869485,0.6380490183048192,0.06312875704930901,0.2345012339070588
jaccard,0.30000000000000004,0.75,107,20,0.3052357948624625,4.684746652407024,0.9904512133833205,0.4887450795374774,Escherichia,Blood Culture,0.182437678462575,0.5439170068114404,0.07641932188869485,0.6380490183048192,0.06312875704930901,0.23450123390705882
jaccard,0.30000000000000004,0.75,108,20,0.3052357948624625,4.684746652407024,0.9904512133833205,0.4887450795374774,Escherichia,Blood Culture,0.182437678462575,0.5439170068114404,0.07641932188869485,0.6380490183048192,0.06312875704930901,0.23450123390705882
jaccard,0.30000000000000004,0.75,109,20,0.3052357948624625,4.684746652407024,0.9904512133833205,0.4887450795374774,Escherichia,Blood Culture,0.182437678462575,0.5439170068114404,0.07641932188869485,0.6380490183048192,0.06312875704930901,0.2345012339070588
jaccard,0.30000000000000004,1.0,100,20,0.30380094105271094,4.777573635551559,1.0,0.48704043472039504,Escherichia,Blood Culture,0.1550223446268967,0.5379336940308876,0.07188440386012244,0.6322774295855911,0.07702028048805751,0.24249784892297438
jaccard,0.30000000000000004,1.0,101,20,0.30380094105271094,4.777573635551559,1.0,0.48704043472039515,Escherichia,Blood Culture,0.1550223446268967,0.5379336940308875,0.07188440386012244,0.6322774295855913,0.07702028048805751,0.24249784892297446
jaccard,0.30000000000000004,1.0,102,20,0.30380094105271094,4.777573635551559,1.0,0.48704043472039504,Escherichia,Blood Culture,0.1550223446268967,0.5379336940308876,0.07188440386012244,0.6322774295855911,0.07702028048805751,0.24249784892297438
jaccard,0.30000000000000004,1.0,103,20,0.30380094105271094,4.777573635551559,1.0,0.48704043472039504,Escherichia,Blood Culture,0.1550223446268967,0.5379336940308876,0.07188440386012244,0.6322774295855911,0.07702028048805751,0.24249784892297438
jaccard,0.30000000000000004,1.0,104,20,0.30380094105271094,4.777573635551559,1.0,0.48704043472039504,Escherichia,Blood Culture,0.1550223446268967,0.5379336940308876,0.07188440386012244,0.6322774295855911,0.07702028048805751,0.24249784892297438
jaccard,0.30000000000000004,1.0,105,20,0.30380094105271094,4.777573635551559,1.0,0.4870404347203951,Escherichia,Blood Culture,0.1550223446268967,0.5379336940308875,0.07188440386012244,0.6322774295855912,0.07702028048805751,0.2424978489229744
jaccard,0.30000000000000004,1.0,106,20,0.30380094105271094,4.777573635551559,1.0,0.48704043472039504,Escherichia,Blood Culture,0.1550223446268967,0.5379336940308876,0.07188440386012244,0.6322774295855911,0.07702028048805751,0.24249784892297438
jaccard,0.30000000000000004,1.0,107,20,0.30380094105271094,4.777573635551559,1.0,0.48704043472039515,Escherichia,Blood Culture,0.1550223446268967,0.5379336940308876,0.07188440386012244,0.6322774295855913,0.07702028048805751,0.24249784892297438
jaccard,0.30000000000000004,1.0,108,20,0.30380094105271094,4.777573635551559,1.0,0.4870404347203951,Escherichia,Blood Culture,0.1550223446268967,0.5379336940308875,0.07188440386012244,0.6322774295855912,0.07702028048805751,0.2424978489229744
jaccard,0.30000000000000004,1.0,109,20,0.30380094105271094,4.777573635551559,1.0,0.48704043472039504,Escherichia,Blood Culture,0.1550223446268967,0.5379336940308876,0.07188440386012244,0.6322774295855911,0.07702028048805751,0.2424978489229744
jaccard,0.4,0.5,100,28,0.2809012684050125,5.716493883575698,0.865555812553277,0.5251575287527676,Escherichia,Blood Culture,0.14396158044571153,0.5614420672139561,0.053556206219191285,0.6899723578940409,0.013041248443109386,0.26911988476988147
jaccard,0.4,0.5,101,28,0.26473788607676857,5.675531821824645,0.865555812553277,0.5201755705014068,Escherichia,Blood Culture,0.14010868767381737,0.5551022772788324,0.05171077979730296,0.6854645038084065,0.012176496432830513,0.2648636193146481
jaccard,0.4,0.5,102,28,0.26972085018596487,5.76465227949598,0.865555812553277,0.5184781467126165,Escherichia,Blood Culture,0.09973820352704822,0.5423366299371397,0.05171077979730296,0.6854645038084065,0.028872104943824927,0.2719711873603732
jaccard,0.4,0.5,103,27,0.27955674417323306,5.513704683841914,0.865555812553277,0.5197888429091815,Escherichia,Blood Culture,0.1266028324801417,0.5480378174708602,0.06493239069256641,0.6834315206379976,0.040291970802919706,0.27334963137574786
jaccard,0.4,0.5,104,26,0.2838949858282606,5.223462891699734,0.865555812553277,0.5176893370405086,Escherichia,Blood Culture,0.15537147766277676,0.5542184341028494,0.06862659504565151,0.6789804709737014,0.03107365182960415,0.2661053947339104
jaccard,0.4,0.5,105,30,0.24069940599423412,6.110515932612085,0.865555812553277,0.5279417647193072,Escherichia,Blood Culture,0.11662666239584676,0.5585521043481813,0.040203029326458264,0.6952341764338199,0.016325930283865274,0.27427487613774965
jaccard,0.4,0.5,106,28,0.2932168518155774,5.99006274159305,0.865555812553277,0.520015599176911,Escherichia,Blood Culture,0.07778073065912443,0.5400343341210293,0.04428475935828877,0.6837363992644175,0.04005371267912969,0.2817024641161174
jaccard,0.4,0.5,107,29,-0.025803001122711094,5.648075642599436,0.865555812553277,0.5408889199619278,Escherichia,Blood Culture,0.12381148464067145,0.5701186219621918,0.06486492606598583,0.6989828981023403,0.06729376194175572,0.30086724710778034
jaccard,0.4,0.5,108,29,0.3182325262573614,6.359244028541207,0.865555812553277,0.5267663029279779,Escherichia,Blood Culture,0.09221067533219651,0.552594108000518,0.037736872886005586,0.6917437845167701,0.026989757786924074,0.2809685224037146
jaccard,0.4,0.5,109,26,0.2838949858282606,5.223462891699734,0.865555812553277,0.5176893370405085,Escherichia,Blood Culture,0.15537147766277676,0.5542184341028495,0.06862659504565151,0.6789804709737014,0.03107365182960415,0.26610539473391037
jaccard,0.4,0.75,100,27,0.276596159301949,5.663375007985751,0.9375068329134795,0.5160646320912559,Escherichia,Blood Culture,0.13882879249019103,0.5471467241464718,0.05110486432359982,0.6798200276590866,0.01374318854525107,0.26664201261226556
jaccard,0.4,0.75,101,27,0.276596159301949,5.663375007985751,0.9375068329134795,0.5160646320912559,Escherichia,Blood Culture,0.13882879249019103,0.5471467241464718,0.05110486432359982,0.6798200276590866,0.01374318854525107,0.26664201261226556
jaccard,0.4,0.75,102,28,0.26972085018596487,5.76465227949598,0.9375068329134795,0.5184781467126165,Escherichia,Blood Culture,0.09973820352704822,0.5423366299371397,0.05171077979730296,0.6854645038084065,0.028872104943824927,0.2719711873603732
jaccard,0.4,0.75,103,27,0.276596159301949,5.663375007985751,0.9375068329134795,0.5160646320912557,Escherichia,Blood Culture,0.13882879249019103,0.5471467241464718,0.05110486432359982,0.6798200276590863,0.01374318854525107,0.2666420126122655
jaccard,0.4,0.75,104,27,0.276596159301949,5.663375007985751,0.9375068329134795,0.5160646320912557,Escherichia,Blood Culture,0.13882879249019103,0.5471467241464718,0.05110486432359982,0.6798200276590864,0.01374318854525107,0.2666420126122655
jaccard,0.4,0.75,105,27,0.276596159301949,5.663375007985751,0.9375068329134795,0.5160646320912559,Escherichia,Blood Culture,0.13882879249019103,0.5471467241464718,0.05110486432359982,0.6798200276590866,0.01374318854525107,0.26664201261226556
jaccard,0.4,0.75,106,27,0.276596159301949,5.663375007985751,0.9375068329134795,0.5160646320912557,Escherichia,Blood Culture,0.13882879249019103,0.5471467241464718,0.05110486432359982,0.6798200276590864,0.01374318854525107,0.2666420126122655
jaccard,0.4,0.75,107,26,0.2838949858282606,5.223462891699734,0.9375068329134795,0.5176893370405085,Escherichia,Blood Culture,0.15537147766277676,0.5542184341028495,0.06862659504565151,0.6789804709737014,0.03107365182960415,0.26610539473391037
jaccard,0.4,0.75,108,28,0.2905993702774344,6.0152755442808985,0.9375068329134795,0.5176772288026144,Escherichia,Blood Culture,0.11049804398385615,0.5411783421019977,0.04428475935828877,0.6837363992644178,0.02051992194876314,0.2727638882208263
jaccard,0.4,0.75,109,26,0.2838949858282606,5.223462891699734,0.9375068329134795,0.5176893370405085,Escherichia,Blood Culture,0.15537147766277676,0.5542184341028495,0.06862659504565151,0.6789804709737014,0.03107365182960415,0.26610539473391037
jaccard,0.4,1.0,100,27,0.30218512972156875,6.112574944215865,1.0,0.5093017313837969,Escherichia,Blood Culture,0.08779862806843851,0.5342380923376758,0.03160376540748574,0.6681820196881656,0.028727842049406843,0.272524986024093
jaccard,0.4,1.0,101,27,0.30218512972156875,6.112574944215865,1.0,0.5093017313837969,Escherichia,Blood Culture,0.08779862806843851,0.5342380923376758,0.03160376540748574,0.6681820196881656,0.028727842049406843,0.272524986024093
jaccard,0.4,1.0,102,27,0.30218512972156875,6.112574944215865,1.0,0.5093017313837969,Escherichia,Blood Culture,0.08779862806843851,0.5342380923376758,0.03160376540748574,0.6681820196881656,0.028727842049406843,0.272524986024093
