,,,,,silhouette,silhouette,ics_score,ics_score,n_clusters,n_clusters,stability,hierarchical_score,hierarchical_score,external_ARI_broad,external_ARI_broad,external_NMI_broad,external_NMI_broad,external_ARI_fine,external_ARI_fine,external_NMI_fine,external_NMI_fine,external_ARI_who,external_ARI_who,external_NMI_who,external_NMI_who
,,,,,mean,std,mean,std,mean,std,mean,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
genus,material,metric,tau,gamma,,,,,,,,,,,,,,,,,,,,,
Escherichia,Blood Culture,cosine,0.30000000000000004,1.0,0.2741846295563966,0.010096582400306132,2.6515693992606884,0.0356394977448723,12.0,0.0,0.9570504674870188,0.40491938826402585,0.0007463175033950927,0.11390592695846298,0.01602568054176703,0.4543455334975916,0.003546364990287065,0.049624607836539054,0.003405111970714247,0.515278575486436,0.005328878421167159,0.07692230289127668,0.013517416929904389,0.20834766006724656,0.008163811207193023
Escherichia,Blood Culture,cosine,0.4,0.5,0.3040085156951798,0.02539537679638947,3.156994371788584,0.1865750575360679,18.2,1.9888578520235063,0.8627415545683925,0.47702226874386344,0.02260896982076952,0.19561206174939474,0.024749975711242145,0.5349447094952813,0.03417839561943687,0.06172655761943056,0.009287358572346641,0.6093228273855034,0.028122851747941376,0.0697275457676003,0.01326383441081828,0.24269908313692562,0.009549042894032706
Escherichia,Blood Culture,cosine,0.4,0.75,0.3092739843524149,0.01670254661343073,3.0148270683884557,0.07783712965654488,16.3,0.9486832980505137,0.96262437330629,0.4585649800193311,0.011333907920464912,0.18649611863561333,0.015741589829845307,0.5068728382723977,0.02131113785173573,0.06133710327363277,0.0017743888449313155,0.5860114349004284,0.015003756776563935,0.07691052323592162,0.0077930192975704,0.24032851525813453,0.003536453818937835
Escherichia,Blood Culture,cosine,0.4,1.0,0.29810088311930383,0.0,3.205873544052209,0.0,17.0,0.0,1.0,0.467273894893515,0.0,0.19089840603579128,0.0,0.5098991591827869,5.233641528945917e-17,0.07870037156249886,0.0,0.613007063325236,0.0,0.060605439317676243,0.0,0.23033773936194826,0.0
Escherichia,Blood Culture,dice,0.1,0.5,0.2789114427748354,0.05287802999922947,3.334311669137514,0.23728687199917334,12.9,1.7288403306519917,0.7971780281952401,0.42538011621729677,0.02277272787462453,0.20804336666449083,0.03533800261284143,0.49788030487356705,0.030170196517256862,0.054343439010881636,0.00992186207364234,0.5485279695899814,0.027924168368480953,0.061041513610487985,0.013561844547832486,0.18868278973078018,0.018988347603619636
Escherichia,Blood Culture,dice,0.1,0.75,0.28403270680903797,0.00177302430284942,2.723638963154226,0.02553059565297425,6.0,0.0,0.9665361440969169,0.3028688923014188,0.004220534743928619,0.13286203414517103,0.005499867749577502,0.3630799539823616,0.0070219517385840475,0.04141178586032525,0.0007355305856361739,0.414900774965777,0.0027525263754645916,0.05131759689029082,0.007357325151969545,0.09328198706799824,0.003376462240558569
Escherichia,Blood Culture,dice,0.1,1.0,0.29262274032429303,0.011261344810730007,2.5061299100466914,0.04284098134007534,6.0,0.0,0.9553889705598854,0.2870813707079728,0.00203871872297713,0.07516739226273146,0.006104840462583283,0.3307854443676327,0.0019959763277671455,0.03618866119097918,0.0044718795773122195,0.40045721012925667,0.008338125062820466,0.036421947526175655,0.011486132554776804,0.09220951115326773,0.00836320535941053
Escherichia,Blood Culture,dice,0.2,0.5,0.29094626378868627,0.03719861442469647,3.2603439732267026,0.41569564818892935,11.0,3.9440531887330774,0.8235424476890987,0.3888325603351041,0.05884384163747211,0.17516036848328556,0.039986842081748415,0.45388231023025866,0.06841013414865875,0.05423141869203167,0.008758510293879761,0.5092078277529106,0.06783795563803678,0.07344023634123573,0.009619570433665733,0.16328245388287413,0.039418922598820585
Escherichia,Blood Culture,dice,0.2,0.75,0.2824556532447856,0.0,3.0051504100914093,0.0,8.0,0.0,1.0,0.34085661300509223,0.0,0.1475008667384071,0.0,0.4018905648739846,0.0,0.04254232478955831,0.0,0.4511457147325638,0.0,0.07138349344365753,0.0,0.1327705254995711,0.0
Escherichia,Blood Culture,dice,0.2,1.0,0.2976567097168581,0.008604740532799804,3.1529549522782916,0.1341045515994968,8.6,0.5163977794943222,0.902967379020138,0.34067706929938435,0.002318586035848112,0.07978562733244303,0.02784067452512826,0.39271471595558255,0.0016902153972249874,0.03863631662717802,0.009523694792718085,0.4664812074727022,0.0054266342923103015,0.041940176955298225,0.0010921026965419842,0.12090057174542898,0.0029060032583061992
