;;Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.)
;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;Insgesamt;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;Insgesamt;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;Insgesamt
31.12.2020;Bremen;20616;20017;23792;29790;17910;13298;44441;48018;49355;44287;40294;40182;49899;50682;43083;68883;75583;680130;10621;10383;12293;15332;9365;6924;23443;24985;25706;22650;20561;20262;25489;25322;20828;31838;30388;336390;9995;9634;11499;14458;8545;6374;20998;23033;23649;21637;19733;19920;24410;25360;22255;37045;45195;343740
31.12.2020;Nordrhein-Westfalen;516102;524976;650152;818780;507826;359264;1034302;1117337;1168657;1096749;1054901;1087324;1430097;1471099;1255851;1862590;1969563;17925570;265198;269820;334610;421963;262307;186151;539833;577819;596899;550266;521218;537077;714354;734125;616517;873460;793271;8794888;250904;255156;315542;396817;245519;173113;494469;539518;571758;546483;533683;550247;715743;736974;639334;989130;1176292;9130682
31.12.2020;Hessen;180903;185027;229816;287992;175820;122370;361657;391728;420467;400280;391619;395838;499139;507617;423180;650610;669091;6293154;93043;94968;117989;147747;90703;63789;189641;202971;215571;200992;193714;197002;250959;254494;208870;307585;278370;3108408;87860;90059;111827;140245;85117;58581;172016;188757;204896;199288;197905;198836;248180;253123;214310;343025;390721;3184746
31.12.2020;Rheinland-Pfalz;114778;118073;145382;180605;111521;79291;225763;242456;259659;247504;236542;243148;324262;351127;305919;459450;452911;4098391;58756;60839;74606;93397;57546;41016;118162;126800;134430;125480;118040;120284;162126;175681;151209;221211;186522;2026105;56022;57234;70776;87208;53975;38275;107601;115656;125229;122024;118502;122864;162136;175446;154710;238239;266389;2072286
31.12.2020;Baden-W�rttemberg;327313;327631;404001;509824;316888;224653;659125;712846;757526;711499;673894;686747;863899;888750;751334;1107771;1179342;11103043;168067;167680;207779;261367;163451;116641;347224;374350;394603;363695;339112;343588;435613;448411;371696;524224;489135;5516636;159246;159951;196222;248457;153437;108012;311901;338496;362923;347804;334782;343159;428286;440339;379638;583547;690207;5586407
31.12.2020;Bayern;387163;383003;471558;577709;356849;253156;753337;837223;901669;854773;817834;825994;1042430;1060991;892431;1338377;1385686;13140183;198349;195976;242259;296706;182735;131347;396474;435653;466727;434610;410475;413093;526126;532625;442145;633751;573544;6512595;188814;187027;229299;281003;174114;121809;356863;401570;434942;420163;407359;412901;516304;528366;450286;704626;812142;6627588
31.12.2020;Saarland;24460;25079;31630;40131;24962;17836;51180;56958;60741;57207;54335;54909;76229;87208;80704;121046;119376;983991;12622;12842;16391;20687;12960;9331;26931;29804;31560;29382;26979;27086;37839;43059;39951;58020;47557;483001;11838;12237;15239;19444;12002;8505;24249;27154;29181;27825;27356;27823;38390;44149;40753;63026;71819;500990
31.12.2020;Berlin;114316;113572;136592;158594;87148;60078;197952;267099;336391;295478;247435;214868;251825;266889;209923;330693;375235;3664088;58725;58357;70057;81559;44812;30669;99208;133135;170109;151118;126180;109198;127730;133893;103718;151505;152065;1802038;55591;55215;66535;77035;42336;29409;98744;133964;166282;144360;121255;105670;124095;132996;106205;179188;223170;1862050
31.12.2020;Brandenburg;61521;69911;92973;114424;64332;40511;94354;82958;154014;164403;159992;146470;197754;239445;209339;304623;334047;2531071;31727;35922;47626;58969;33382;21250;50914;43429;78085;83897;82181;75367;99836;120770;104213;145777;134705;1248050;29794;33989;45347;55455;30950;19261;43440;39529;75929;80506;77811;71103;97918;118675;105126;158846;199342;1283021
31.12.2020;Mecklenburg-Vorpommern;38395;42129;56075;70061;39598;26396;65956;58680;105314;104268;97973;86717;116768;147886;138396;207555;208607;1610774;19765;21429;28752;35773;20241;13765;34586;30714;54494;54260;51712;45498;59279;74161;68077;99138;81893;793537;18630;20700;27323;34288;19357;12631;31370;27966;50820;50008;46261;41219;57489;73725;70319;108417;126714;817237
31.12.2020;Sachsen;104070;114533;148901;178283;100491;67286;177551;166993;273922;268025;251850;228216;281195;322518;291341;500012;581754;4056941;53334;58733;76574;91465;51371;34699;92609;87883;143419;141128;133083;121248;145495;162273;142574;233087;230051;1999026;50736;55800;72327;86818;49120;32587;84942;79110;130503;126897;118767;106968;135700;160245;148767;266925;351703;2057915
31.12.2020;Sachsen-Anhalt;50690;55999;73661;90689;51622;35425;90096;80852;135177;133805;125440;122063;165296;194348;177704;288214;309603;2180684;25995;28792;37921;46750;26590;18606;48346;43082;70945;70644;66307;64221;84590;97229;86789;134987;120801;1072595;24695;27207;35740;43939;25032;16819;41750;37770;64232;63161;59133;57842;80706;97119;90915;153227;188802;1108089
31.12.2020;Th�ringen;50274;56349;75008;90109;52134;34951;88509;79167;132487;135116;126830;121962;155382;183415;171736;279511;287297;2120237;25676;28927;38537;46376;26856;18120;47046;42145;69701;71476;66968;64749;79730;91770;84608;132352;114175;1049212;24598;27422;36471;43733;25278;16831;41463;37022;62786;63640;59862;57213;75652;91645;87128;147159;173122;1071025
31.12.2021;Schleswig-Holstein;76538;81126;104841;132021;81270;56499;155547;159658;175316;170324;171731;170805;234899;253721;211531;327008;359170;2922005;39255;41567;53715;67826;41913;29106;81523;83129;90228;84990;84218;83764;116086;125074;103049;154814;150807;1431064;37283;39559;51126;64195;39357;27393;74024;76529;85088;85334;87513;87041;118813;128647;108482;172194;208363;1490941
31.12.2021;Hamburg;59192;58315;70358;80540;47465;33078;110866;143011;156952;140074;129571;116403;132596;133562;105414;156060;180478;1853935;30393;29890;36012;41560;24692;16808;55647;70896;78806;70036;64298;58225;67085;66952;51401;71931;73050;907682;28799;28425;34346;38980;22773;16270;55219;72115;78146;70038;65273;58178;65511;66610;54013;84129;107428;946253
31.12.2021;Niedersachsen;228545;233713;295395;365702;227362;161370;450478;469763;499624;474842;465962;466312;622335;674965;583566;893507;913590;8027031;117382;119710;152015;188324;117083;83120;236679;247127;259386;240309;231571;231100;309612;336664;287414;427734;377717;3962947;111163;114003;143380;177378;110279;78250;213799;222636;240238;234533;234391;235212;312723;338301;296152;465773;535873;4064084
31.12.2021;Bremen;20483;20422;24885;29642;18111;12948;43494;47624;48904;44444;40580;38853;47451;50947;43712;69063;74900;676463;10588;10475;12858;15296;9548;6656;22812;24815;25564;22666;20754;19539;24051;25526;21130;31818;30223;334319;9895;9947;12027;14346;8563;6292;20682;22809;23340;21778;19826;19314;23400;25421;22582;37245;44677;342144
31.12.2021;Nordrhein-Westfalen;518886;532635;667244;818583;503384;352419;1017399;1112449;1177501;1104907;1067039;1048764;1364816;1486298;1288770;1914739;1948758;17924591;266838;273577;343648;421662;259944;182649;529793;576200;602570;555842;527372;516956;679231;742225;632726;898622;785678;8795533;252048;259058;323596;396921;243440;169770;487606;536249;574931;549065;539667;531808;685585;744073;656044;1016117;1163080;9129058
31.12.2021;Hessen;181421;186734;234938;290143;175522;121284;355362;388987;420419;400703;395647;384111;479209;513111;435774;666736;664916;6295017;93522;95721;120641;149069;90590;62983;185715;202284;215649;202142;195426;190402;239952;257470;215111;314996;276916;3108589;87899;91013;114297;141074;84932;58301;169647;186703;204770;198561;200221;193709;239257;255641;220663;351740;388000;3186428
